Country,Region,Happiness Score 21,Social Support,Healthy Life Expectancy,Freedom To Make Life Choices,Happiness Score 22,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Happiness Rating Avg 21-22
Afghanistan,South Asia,2.523,0.463,52.493,0.382,2.404,0.000,0.289,0.000,2.4635
Albania,Central and Eastern Europe,5.117,0.697,68.999,0.785,5.199,0.646,0.719,0.511,5.1579999999999995
Algeria,Middle East and North Africa,4.887,0.802,66.005,0.48,5.122,0.970,0.643,0.146,5.0045
Argentina,Latin America and Caribbean,5.929,0.898,69.0,0.828,5.967,1.102,0.662,0.555,5.948
Armenia,Commonwealth of Independent States,5.283,0.799,67.055,0.825,5.399,0.820,0.668,0.558,5.341
Australia,North America and ANZ,7.183,0.94,73.9,0.914,7.162,1.203,0.772,0.676,7.172499999999999
Austria,Western Europe,7.268,0.934,73.3,0.908,7.163,1.165,0.774,0.623,7.2155000000000005
Azerbaijan,Commonwealth of Independent States,5.171,0.836,65.656,0.814,5.173,1.093,0.560,0.601,5.172000000000001
Bahrain,Middle East and North Africa,6.647,0.862,69.495,0.925,6.647,1.029,0.625,0.693,6.647
Bangladesh,South Asia,5.025,0.693,64.8,0.877,5.155,0.614,0.581,0.622,5.09
Belarus,Commonwealth of Independent States,5.534,0.91,66.253,0.65,5.821,1.157,0.629,0.342,5.6775
Belgium,Western Europe,6.834,0.906,72.199,0.783,6.805,1.106,0.764,0.492,6.8195
Benin,Sub-Saharan Africa,5.045,0.489,54.713,0.757,4.623,0.064,0.335,0.479,4.834
Bolivia,Latin America and Caribbean,5.716,0.81,63.901,0.875,5.6,0.880,0.555,0.627,5.6579999999999995
Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.87,68.098,0.706,5.768,1.068,0.665,0.448,5.7905
Botswana,Sub-Saharan Africa,3.467,0.784,59.269,0.824,3.471,0.815,0.280,0.571,3.4690000000000003
Brazil,Latin America and Caribbean,6.33,0.882,66.601,0.804,6.293,1.044,0.615,0.546,6.3115000000000006
Bulgaria,Central and Eastern Europe,5.266,0.931,67.0,0.788,5.371,1.163,0.640,0.563,5.3185
Burkina Faso,Sub-Saharan Africa,4.834,0.672,54.151,0.695,4.67,0.565,0.320,0.382,4.752
Cambodia,Southeast Asia,4.83,0.765,62.0,0.959,4.64,0.732,0.505,0.740,4.734999999999999
Cameroon,Sub-Saharan Africa,5.142,0.71,53.515,0.731,5.048,0.672,0.317,0.397,5.095000000000001
Canada,North America and ANZ,7.103,0.926,73.8,0.915,7.025,1.188,0.783,0.659,7.064
Chad,Sub-Saharan Africa,4.355,0.619,48.478,0.579,4.251,0.506,0.225,0.180,4.303000000000001
Chile,Latin America and Caribbean,6.172,0.882,70.0,0.742,6.172,1.080,0.748,0.460,6.172
China,East Asia,5.339,0.811,69.593,0.904,5.585,0.958,0.705,0.656,5.462
Colombia,Latin America and Caribbean,6.012,0.847,68.001,0.837,5.781,0.929,0.720,0.545,5.8965
Comoros,Sub-Saharan Africa,4.289,0.626,57.349,0.548,4.609,0.476,0.424,0.185,4.449
Costa Rica,Latin America and Caribbean,7.069,0.891,71.4,0.934,6.582,1.054,0.744,0.661,6.8255
Croatia,Central and Eastern Europe,5.882,0.924,70.799,0.754,6.125,1.183,0.709,0.535,6.0035
Cyprus,Western Europe,6.223,0.802,73.898,0.763,6.221,0.909,0.819,0.448,6.2219999999999995
Denmark,Western Europe,7.62,0.954,72.7,0.946,7.636,1.243,0.777,0.719,7.628
Dominican Republic,Latin America and Caribbean,5.545,0.853,66.102,0.86,5.737,1.003,0.577,0.606,5.641
Ecuador,Latin America and Caribbean,5.764,0.821,68.8,0.842,5.533,0.879,0.708,0.565,5.6485
Egypt,Middle East and North Africa,4.283,0.75,61.998,0.749,4.288,0.732,0.548,0.469,4.285500000000001
El Salvador,Latin America and Caribbean,6.061,0.762,66.402,0.888,6.12,0.768,0.607,0.666,6.0905000000000005
Estonia,Central and Eastern Europe,6.189,0.941,68.8,0.909,6.341,1.232,0.728,0.689,6.265000000000001
Ethiopia,Sub-Saharan Africa,4.275,0.764,59.0,0.752,4.241,0.809,0.457,0.472,4.258
Finland,Western Europe,7.842,0.954,72.0,0.949,7.821,1.258,0.775,0.736,7.8315
France,Western Europe,6.69,0.942,74.0,0.822,6.687,1.219,0.808,0.567,6.6885
Gabon,Sub-Saharan Africa,4.852,0.776,59.962,0.731,4.958,0.738,0.396,0.343,4.905
Gambia,Sub-Saharan Africa,5.051,0.69,55.16,0.697,5.164,0.621,0.369,0.367,5.1075
Georgia,Commonwealth of Independent States,4.891,0.671,64.3,0.783,4.973,0.612,0.595,0.508,4.932
Germany,Western Europe,7.155,0.903,72.5,0.875,7.034,1.088,0.776,0.585,7.0945
Ghana,Sub-Saharan Africa,5.088,0.727,57.586,0.807,4.872,0.595,0.409,0.500,4.98
Greece,Western Europe,5.723,0.823,72.6,0.582,5.948,0.980,0.774,0.249,5.8355
Guatemala,Latin America and Caribbean,6.435,0.813,64.958,0.906,6.262,0.831,0.522,0.662,6.3485
Guinea,Sub-Saharan Africa,4.984,0.639,55.008,0.697,4.891,0.566,0.275,0.334,4.9375
Honduras,Latin America and Caribbean,5.919,0.812,67.3,0.857,6.022,0.885,0.555,0.582,5.9704999999999995
Hong Kong S.A.R. of China,East Asia,5.477,0.836,76.82,0.717,5.425,0.954,0.942,0.400,5.4510000000000005
Hungary,Central and Eastern Europe,5.992,0.943,68.0,0.755,6.086,1.233,0.668,0.485,6.039
Iceland,Western Europe,7.554,0.983,73.0,0.955,7.557,1.320,0.803,0.718,7.5555
India,South Asia,3.819,0.603,60.633,0.893,3.777,0.376,0.471,0.647,3.798
Indonesia,Southeast Asia,5.345,0.811,62.236,0.873,5.24,0.883,0.539,0.620,5.2925
Iran,Middle East and North Africa,4.721,0.71,66.3,0.608,4.888,0.741,0.642,0.281,4.8045
Iraq,Middle East and North Africa,4.854,0.746,60.583,0.63,4.941,0.682,0.554,0.328,4.8975
Ireland,Western Europe,7.085,0.947,72.4,0.879,7.041,1.166,0.779,0.627,7.063000000000001
Israel,Middle East and North Africa,7.157,0.939,73.503,0.8,7.364,1.221,0.818,0.568,7.2605
Italy,Western Europe,6.483,0.88,73.8,0.693,6.467,1.052,0.801,0.412,6.475
Ivory Coast,Sub-Saharan Africa,5.306,0.644,50.114,0.741,5.235,0.442,0.322,0.451,5.2705
Jamaica,Latin America and Caribbean,6.309,0.877,67.5,0.89,5.85,1.045,0.646,0.567,6.0794999999999995
Japan,East Asia,5.94,0.884,75.1,0.796,6.039,1.089,0.866,0.537,5.9895
Jordan,Middle East and North Africa,4.395,0.767,67.0,0.755,4.152,0.724,0.675,0.476,4.2735
Kazakhstan,Commonwealth of Independent States,6.152,0.952,65.2,0.853,6.234,1.220,0.611,0.584,6.193
Kenya,Sub-Saharan Africa,4.607,0.688,60.704,0.779,4.543,0.605,0.401,0.440,4.575
Kosovo,Central and Eastern Europe,6.372,0.821,63.813,0.869,6.455,0.949,0.569,0.599,6.4135
Kuwait,Middle East and North Africa,6.106,0.843,66.9,0.867,6.106,0.983,0.747,0.617,6.106
Kyrgyzstan,Commonwealth of Independent States,5.744,0.893,64.401,0.935,5.828,1.109,0.638,0.693,5.786
Laos,Southeast Asia,5.03,0.728,58.968,0.91,5.14,0.654,0.479,0.679,5.085
Latvia,Central and Eastern Europe,6.032,0.927,67.1,0.715,6.18,1.221,0.637,0.502,6.106
Lebanon,Middle East and North Africa,4.584,0.848,67.355,0.525,2.955,0.498,0.631,0.103,3.7695
Lesotho,Sub-Saharan Africa,3.512,0.787,48.7,0.715,3.512,0.848,0.000,0.419,3.512
Liberia,Sub-Saharan Africa,4.625,0.72,56.498,0.735,5.122,0.670,0.309,0.405,4.8735
Libya,Middle East and North Africa,5.41,0.827,62.3,0.771,5.33,0.943,0.606,0.477,5.37
Lithuania,Central and Eastern Europe,6.255,0.935,67.906,0.773,6.446,1.204,0.659,0.496,6.3505
Luxembourg,Western Europe,7.324,0.908,72.6,0.907,7.404,1.155,0.790,0.700,7.364
Madagascar,Sub-Saharan Africa,4.208,0.686,59.305,0.552,4.339,0.645,0.378,0.202,4.2735
Malawi,Sub-Saharan Africa,3.6,0.537,57.948,0.78,3.75,0.279,0.388,0.477,3.675
Malaysia,Southeast Asia,5.384,0.817,67.102,0.895,5.711,0.938,0.620,0.654,5.5475
Mali,Sub-Saharan Africa,4.723,0.724,51.969,0.697,4.479,0.483,0.311,0.350,4.601
